Дата;Цена
11.01.2019;161.00
10.01.2019;160.20
09.01.2019;160.24
08.01.2019;158.26
04.01.2019;159.15
03.01.2019;156.28
29.12.2018;153.50
28.12.2018;153.00
27.12.2018;150.68
26.12.2018;148.41
25.12.2018;147.01
24.12.2018;149.73
21.12.2018;151.12
20.12.2018;152.27
19.12.2018;152.98
18.12.2018;151.89
17.12.2018;153.53
14.12.2018;155.40
13.12.2018;156.49
12.12.2018;155.79
11.12.2018;158.60
10.12.2018;161.00
07.12.2018;163.00
06.12.2018;160.62
05.12.2018;164.57
04.12.2018;164.20
03.12.2018;165.40
30.11.2018;161.29
29.11.2018;164.99
28.11.2018;165.58
27.11.2018;153.80
26.11.2018;149.53
23.11.2018;151.79
22.11.2018;153.91
21.11.2018;152.40
20.11.2018;151.51
19.11.2018;154.10
16.11.2018;153.16
15.11.2018;154.14
14.11.2018;151.85
13.11.2018;148.83
12.11.2018;150.89
09.11.2018;153.19
08.11.2018;157.51
07.11.2018;157.85
06.11.2018;156.00
02.11.2018;153.71
01.11.2018;153.50
31.10.2018;155.47
30.10.2018;151.30
29.10.2018;152.52
26.10.2018;152.50
25.10.2018;155.65
24.10.2018;154.70
23.10.2018;153.61
22.10.2018;155.70
19.10.2018;161.32
18.10.2018;160.18
17.10.2018;164.56
16.10.2018;165.99
15.10.2018;164.00
12.10.2018;167.00
11.10.2018;161.92
10.10.2018;166.20
09.10.2018;172.11
08.10.2018;171.81
05.10.2018;170.50
04.10.2018;168.50
03.10.2018;169.47
02.10.2018;162.59
01.10.2018;161.89
28.09.2018;162.61
27.09.2018;161.80
26.09.2018;159.27
25.09.2018;160.84
24.09.2018;159.00
21.09.2018;158.64
20.09.2018;154.35
19.09.2018;157.39
18.09.2018;157.08
17.09.2018;155.46
14.09.2018;152.15
13.09.2018;153.50
12.09.2018;155.05
11.09.2018;152.36
10.09.2018;150.75
07.09.2018;148.80
06.09.2018;147.06
05.09.2018;147.06
04.09.2018;147.40
03.09.2018;148.73
31.08.2018;149.95
30.08.2018;145.98
29.08.2018;147.88
28.08.2018;145.60
27.08.2018;144.52
24.08.2018;143.60
23.08.2018;141.50
22.08.2018;144.16
21.08.2018;143.30
20.08.2018;141.51
17.08.2018;141.01
16.08.2018;140.88
15.08.2018;141.50
14.08.2018;141.24
13.08.2018;142.90
10.08.2018;144.80
09.08.2018;145.20
08.08.2018;144.10
07.08.2018;142.74
06.08.2018;141.34
03.08.2018;142.39
02.08.2018;140.36
01.08.2018;142.14
31.07.2018;143.79
30.07.2018;138.90
27.07.2018;137.99
26.07.2018;138.18
25.07.2018;138.21
24.07.2018;138.85
23.07.2018;138.37
20.07.2018;136.47
19.07.2018;137.58
18.07.2018;138.29
17.07.2018;145.31
16.07.2018;147.00
13.07.2018;146.87
12.07.2018;145.08
11.07.2018;144.77
10.07.2018;147.30
09.07.2018;148.00
06.07.2018;144.96
05.07.2018;145.55
04.07.2018;142.24
03.07.2018;142.49
02.07.2018;144.00
29.06.2018;141.01
28.06.2018;138.76
27.06.2018;139.00
26.06.2018;138.07
25.06.2018;137.10
22.06.2018;136.76
21.06.2018;134.40
20.06.2018;136.91
19.06.2018;135.50
18.06.2018;136.52
15.06.2018;137.73
14.06.2018;139.40
13.06.2018;141.00
11.06.2018;142.28
09.06.2018;144.08
08.06.2018;143.05
07.06.2018;146.05
06.06.2018;146.90
05.06.2018;146.00
04.06.2018;146.44
01.06.2018;144.00
31.05.2018;145.00
30.05.2018;143.26
29.05.2018;143.90
28.05.2018;145.09
25.05.2018;145.09
24.05.2018;145.27
23.05.2018;146.06
22.05.2018;146.50
21.05.2018;146.76
18.05.2018;145.65
17.05.2018;147.15
16.05.2018;148.59
15.05.2018;149.20
